
##### tessera_vs_exl3_followups 2026-09-01 20:18:14 args={'layers': [5, 20, 42], 'projs': ['gate_proj', 'up_proj'], 'eval_rows': 1024, 'exl3': [2, 3, 4, 5, 6, 8], 'sigmas': [1.0, 3.0], 'ldlq_block': 32, 'q256': 896, 'rates': [4, 5], 'sigma_units': 64.0, 'refits': 2, 'fp4cb': [24, 20, 16], 'fp8cb': [32, 40, 48], 'cb_ldlq': 1, 's6b_inner': 1, 'out': 'experiments/results/tessera_vs_exl3_followups.json'}

== L5.gate_proj (2048, 4096)  H 7168 rows  held-out 1024 rows  act legs: A4 0.09170  A8 0.02550
    arm                                                                   bpp       wt      out     W?A4     W?A8      s
    Gridbook FP4-CB K16 (v2 two-tier) +imatrix                          2.281  0.30511  0.27435  0.28671  0.27534    1.0
    Gridbook FP8-CB K32 +imatrix +LDLQ(gated)                           4.008  0.14682  0.11413  0.14287  0.11659    1.0
    Gridbook FP8-CB K40 +imatrix +LDLQ(gated)                           5.008  0.07785  0.06069  0.10549  0.06523    2.9
    Gridbook FP8-CB K48 +imatrix +LDLQ(gated)                           6.008  0.04103  0.03202  0.09200  0.04002   11.3
    Gridbook FP4-CB K24 (v2 two-tier) +imatrix +LDLQ(gated)             3.281  0.24280  0.19043  0.20879  0.19183   17.9
    Gridbook FP4-CB K20 (v2 two-tier) +imatrix +LDLQ(gated)             2.781  0.33353  0.26048  0.27384  0.26147    5.2
    Gridbook FP4-CB K16 (v2 two-tier) +imatrix +LDLQ(gated)             2.281  0.45729  0.35818  0.36750  0.35882    1.7
    Tessera-4 q256=896 (span2 LUT refit4 scale-wt)                      4.000  0.08814  0.08004  0.11760  0.08349    3.6
    Tessera-4 + LDLQ s=1.0 (whole re-encode)                            4.000  0.09196  0.07543  0.11441  0.07908  227.2
    Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic)                       4.000  0.09194  0.07342  0.11311  0.07718    0.0
    Tessera-4 + LDLQ s=1.0 (whole re-encode, S6b inner)                 4.000  0.09304  0.08765  0.12272  0.09078  218.6
    Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic, S6b inner)            4.000  0.10359  0.08245  0.11905  0.08584    0.0
    Tessera-4 + LDLQ s=3.0 (whole re-encode)                            4.000  0.08942  0.07453  0.11378  0.07824  118.7
    Tessera-4 + LDLQ s=3.0 (STITCHED, diagnostic)                       4.000  0.08941  0.07250  0.11250  0.07629    0.0
    Tessera-8 R=4 per-channel (s=64)                                    4.008  0.08541  0.07785  0.11610  0.08143    6.7
    Tessera-8 R=4 per-channel + LDLQ s=1.0 (frozen row scale)           4.008  0.08892  0.07079  0.11150  0.07469  114.7
    Tessera-8 R=4 per-channel + LDLQ s=3.0 (frozen row scale)           4.008  0.08667  0.07003  0.11098  0.07400   82.6
    Tessera-8 R=5 per-channel (s=64)                                    5.008  0.04504  0.04089  0.09549  0.04740    2.2
    Tessera-8 R=5 per-channel + LDLQ s=1.0 (frozen row scale)           5.008  0.04689  0.03726  0.09393  0.04432   39.2
    Tessera-8 R=5 per-channel + LDLQ s=3.0 (frozen row scale)           5.008  0.04571  0.03689  0.09378  0.04401   51.7

== mean over 6 tensors   act legs: A4 0.08657  A8 0.02409
    arm                                                                   bpp       wt      out     W?A4     W?A8
    EXL3 K=2                                                            2.012  0.33452  0.26432  0.27740  0.26529
    EXL3 K=3                                                            3.012  0.17027  0.13391  0.15917  0.13600
    EXL3 K=4                                                            4.012  0.08630  0.06787  0.10989  0.07200
    EXL3 K=5                                                            5.012  0.04387  0.03455  0.09319  0.04210
    EXL3 K=6                                                            6.012  0.02246  0.01766  0.08835  0.02987
    EXL3 K=8                                                            8.012  0.00608  0.00478  0.08670  0.02456
    Gridbook FP8-CB K32                                                 4.008  0.09558  0.08712  0.12261  0.09038
    Gridbook FP8-CB K32 +imatrix                                        4.008  0.09581  0.08694  0.12247  0.09021
    Gridbook FP8-CB K40                                                 5.008  0.05046  0.04602  0.09795  0.05192
    Gridbook FP8-CB K40 +imatrix                                        5.008  0.05058  0.04597  0.09792  0.05188
    Gridbook FP8-CB K48                                                 6.008  0.02625  0.02397  0.08981  0.03398
    Gridbook FP8-CB K48 +imatrix                                        6.008  0.02629  0.02397  0.08981  0.03398
    Gridbook FP4-CB K24 (v2 two-tier)                                   3.281  0.15604  0.14246  0.16640  0.14444
    Gridbook FP4-CB K24 (v2 two-tier) +imatrix                          3.281  0.15669  0.14194  0.16595  0.14393
    Gridbook FP4-CB K20 (v2 two-tier)                                   2.781  0.21590  0.19744  0.21500  0.19886
    Gridbook FP4-CB K20 (v2 two-tier) +imatrix                          2.781  0.21683  0.19677  0.21434  0.19819
    Gridbook FP4-CB K16 (v2 two-tier)                                   2.281  0.30282  0.27833  0.29059  0.27930
    Gridbook FP4-CB K16 (v2 two-tier) +imatrix                          2.281  0.30419  0.27705  0.28933  0.27802
    Gridbook FP8-CB K32 +imatrix +LDLQ(gated)                           4.008  0.13069  0.10685  0.13768  0.10955
    Gridbook FP8-CB K40 +imatrix +LDLQ(gated)                           5.008  0.06919  0.05659  0.10357  0.06157
    Gridbook FP8-CB K48 +imatrix +LDLQ(gated)                           6.008  0.03126  0.02641  0.09055  0.03582
    Gridbook FP4-CB K24 (v2 two-tier) +imatrix +LDLQ(gated)             3.281  0.18544  0.15631  0.17862  0.15812
    Gridbook FP4-CB K20 (v2 two-tier) +imatrix +LDLQ(gated)             2.781  0.25568  0.21577  0.23206  0.21706
    Gridbook FP4-CB K16 (v2 two-tier) +imatrix +LDLQ(gated)             2.281  0.40786  0.33530  0.34553  0.33604
    Tessera-4 q256=896 (span2 LUT refit4 scale-wt)                      4.000  0.08774  0.07983  0.11761  0.08335
    Tessera-4 + LDLQ s=1.0 (whole re-encode)                            4.000  0.09192  0.07648  0.11533  0.08015
    Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic)                       4.000  0.09190  0.07486  0.11428  0.07860
    Tessera-4 + LDLQ s=1.0 (whole re-encode, S6b inner)                 4.000  0.09308  0.08609  0.12182  0.08933
    Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic, S6b inner)            4.000  0.10393  0.08462  0.12078  0.08795
    Tessera-4 + LDLQ s=3.0 (whole re-encode)                            4.000  0.08917  0.07539  0.11462  0.07910
    Tessera-4 + LDLQ s=3.0 (STITCHED, diagnostic)                       4.000  0.08914  0.07401  0.11372  0.07779
    Tessera-8 R=4 per-channel (s=64)                                    4.008  0.08556  0.07801  0.11639  0.08163
    Tessera-8 R=4 per-channel + LDLQ s=1.0 (frozen row scale)           4.008  0.08934  0.07275  0.11285  0.07660
    Tessera-8 R=4 per-channel + LDLQ s=3.0 (frozen row scale)           4.008  0.08689  0.07212  0.11243  0.07600
    Tessera-8 R=5 per-channel (s=64)                                    5.008  0.04504  0.04101  0.09573  0.04755
    Tessera-8 R=5 per-channel + LDLQ s=1.0 (frozen row scale)           5.008  0.04704  0.03829  0.09458  0.04523
    Tessera-8 R=5 per-channel + LDLQ s=3.0 (frozen row scale)           5.008  0.04574  0.03794  0.09444  0.04494

| arm | bpp | out | vs EXL3 out | W?A4 | vs EXL3 A4 | W?A8 | vs EXL3 A8 |
|---|---:|---:|---:|---:|---:|---:|---:|
| EXL3 K=2 | 2.012 | 0.26432 | - | 0.27740 | - | 0.26529 | - |
| EXL3 K=3 | 3.012 | 0.13391 | - | 0.15917 | - | 0.13600 | - |
| EXL3 K=4 | 4.012 | 0.06787 | - | 0.10989 | - | 0.07200 | - |
| EXL3 K=5 | 5.012 | 0.03455 | - | 0.09319 | - | 0.04210 | - |
| EXL3 K=6 | 6.012 | 0.01766 | - | 0.08835 | - | 0.02987 | - |
| EXL3 K=8 | 8.012 | 0.00478 | - | 0.08670 | - | 0.02456 | - |
| Gridbook FP8-CB K32 | 4.008 | 0.08712 | 1.281x (1.269-1.305) | 0.12261 | 1.115x (1.109-1.124) | 0.09038 | 1.253x (1.242-1.274) |
| Gridbook FP8-CB K32 +imatrix | 4.008 | 0.08694 | 1.279x (1.267-1.300) | 0.12247 | 1.113x (1.109-1.122) | 0.09021 | 1.251x (1.240-1.270) |
| Gridbook FP8-CB K40 | 5.008 | 0.04602 | 1.330x (1.313-1.362) | 0.09795 | 1.051x (1.048-1.056) | 0.05192 | 1.232x (1.222-1.253) |
| Gridbook FP8-CB K40 +imatrix | 5.008 | 0.04597 | 1.329x (1.310-1.354) | 0.09792 | 1.050x (1.047-1.054) | 0.05188 | 1.231x (1.219-1.246) |
| Gridbook FP8-CB K48 | 6.008 | 0.02397 | 1.353x (1.302-1.403) | 0.08981 | 1.016x (1.013-1.019) | 0.03398 | 1.136x (1.115-1.158) |
| Gridbook FP8-CB K48 +imatrix | 6.008 | 0.02397 | 1.353x (1.304-1.401) | 0.08981 | 1.016x (1.013-1.019) | 0.03398 | 1.136x (1.115-1.157) |
| Gridbook FP4-CB K24 (v2 two-tier) | 3.281 | 0.14246 | 1.280x (1.257-1.312) | 0.16640 | 1.157x (1.141-1.179) | 0.14444 | 1.263x (1.241-1.294) |
| Gridbook FP4-CB K24 (v2 two-tier) +imatrix | 3.281 | 0.14194 | 1.274x (1.256-1.295) | 0.16595 | 1.153x (1.140-1.167) | 0.14393 | 1.258x (1.240-1.278) |
| Gridbook FP4-CB K20 (v2 two-tier) | 2.781 | 0.19744 | 1.263x (1.245-1.300) | 0.21500 | 1.190x (1.176-1.221) | 0.19886 | 1.256x (1.238-1.293) |
| Gridbook FP4-CB K20 (v2 two-tier) +imatrix | 2.781 | 0.19677 | 1.258x (1.246-1.285) | 0.21434 | 1.186x (1.177-1.208) | 0.19819 | 1.251x (1.239-1.277) |
| Gridbook FP4-CB K16 (v2 two-tier) | 2.281 | 0.27833 | 1.268x (1.242-1.330) | 0.29059 | 1.220x (1.196-1.276) | 0.27930 | 1.264x (1.238-1.326) |
| Gridbook FP4-CB K16 (v2 two-tier) +imatrix | 2.281 | 0.27705 | 1.262x (1.240-1.308) | 0.28933 | 1.214x (1.195-1.256) | 0.27802 | 1.257x (1.236-1.304) |
| Gridbook FP8-CB K32 +imatrix +LDLQ(gated) | 4.008 | 0.10685 | 1.582x (1.267-1.767) | 0.13768 | 1.256x (1.109-1.349) | 0.10955 | 1.528x (1.240-1.699) |
| Gridbook FP8-CB K40 +imatrix +LDLQ(gated) | 5.008 | 0.05659 | 1.646x (1.318-1.834) | 0.10357 | 1.113x (1.049-1.153) | 0.06157 | 1.468x (1.224-1.613) |
| Gridbook FP8-CB K48 +imatrix +LDLQ(gated) | 6.008 | 0.02641 | 1.511x (1.304-1.840) | 0.09055 | 1.026x (1.013-1.045) | 0.03582 | 1.206x (1.115-1.349) |
| Gridbook FP4-CB K24 (v2 two-tier) +imatrix +LDLQ(gated) | 3.281 | 0.15631 | 1.423x (1.256-1.741) | 0.17862 | 1.253x (1.140-1.469) | 0.15812 | 1.400x (1.240-1.705) |
| Gridbook FP4-CB K20 (v2 two-tier) +imatrix +LDLQ(gated) | 2.781 | 0.21577 | 1.397x (1.246-1.699) | 0.23206 | 1.298x (1.177-1.540) | 0.21706 | 1.388x (1.239-1.683) |
| Gridbook FP4-CB K16 (v2 two-tier) +imatrix +LDLQ(gated) | 2.281 | 0.33530 | 1.535x (1.240-1.704) | 0.34553 | 1.456x (1.195-1.609) | 0.33604 | 1.527x (1.236-1.695) |
| Tessera-4 q256=896 (span2 LUT refit4 scale-wt) | 4.000 | 0.07983 | 1.169x (1.153-1.202) | 0.11761 | 1.066x (1.060-1.080) | 0.08335 | 1.151x (1.137-1.181) |
| Tessera-4 + LDLQ s=1.0 (whole re-encode) | 4.000 | 0.07648 | 1.118x (1.110-1.123) | 0.11533 | 1.045x (1.042-1.047) | 0.08015 | 1.105x (1.098-1.110) |
| Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic) | 4.000 | 0.07486 | 1.094x (1.087-1.102) | 0.11428 | 1.035x (1.033-1.039) | 0.07860 | 1.084x (1.077-1.091) |
| Tessera-4 + LDLQ s=1.0 (whole re-encode, S6b inner) | 4.000 | 0.08609 | 1.261x (1.234-1.303) | 0.12182 | 1.105x (1.094-1.121) | 0.08933 | 1.234x (1.210-1.271) |
| Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic, S6b inner) | 4.000 | 0.08462 | 1.236x (1.226-1.248) | 0.12078 | 1.094x (1.088-1.100) | 0.08795 | 1.212x (1.202-1.223) |
| Tessera-4 + LDLQ s=3.0 (whole re-encode) | 4.000 | 0.07539 | 1.102x (1.096-1.110) | 0.11462 | 1.039x (1.037-1.040) | 0.07910 | 1.091x (1.085-1.097) |
| Tessera-4 + LDLQ s=3.0 (STITCHED, diagnostic) | 4.000 | 0.07401 | 1.082x (1.076-1.088) | 0.11372 | 1.030x (1.028-1.034) | 0.07779 | 1.072x (1.067-1.078) |
| Tessera-8 R=4 per-channel (s=64) | 4.008 | 0.07801 | 1.147x (1.136-1.165) | 0.11639 | 1.058x (1.053-1.067) | 0.08163 | 1.132x (1.122-1.148) |
| Tessera-8 R=4 per-channel + LDLQ s=1.0 (frozen row scale) | 4.008 | 0.07275 | 1.068x (1.058-1.083) | 0.11285 | 1.025x (1.021-1.032) | 0.07660 | 1.061x (1.051-1.075) |
| Tessera-8 R=4 per-channel + LDLQ s=3.0 (frozen row scale) | 4.008 | 0.07212 | 1.059x (1.046-1.067) | 0.11243 | 1.021x (1.016-1.025) | 0.07600 | 1.052x (1.041-1.059) |
| Tessera-8 R=5 per-channel (s=64) | 5.008 | 0.04101 | 1.184x (1.169-1.203) | 0.09573 | 1.027x (1.025-1.029) | 0.04755 | 1.127x (1.117-1.139) |
| Tessera-8 R=5 per-channel + LDLQ s=1.0 (frozen row scale) | 5.008 | 0.03829 | 1.105x (1.089-1.115) | 0.09458 | 1.014x (1.012-1.016) | 0.04523 | 1.071x (1.060-1.079) |
| Tessera-8 R=5 per-channel + LDLQ s=3.0 (frozen row scale) | 5.008 | 0.03794 | 1.094x (1.075-1.102) | 0.09444 | 1.013x (1.010-1.014) | 0.04494 | 1.064x (1.052-1.070) |

(* = the arm's bpp is outside the EXL3 ladder and the nearest pair was extended.)

EXL3 K=4 leg check (must match tessera8_targets.json): out got 0.06787 want 0.06787, a4 got 0.10989 want 0.10989, a8 got 0.07200 want 0.07200  -> PASS
reproduction Gridbook FP8-CB K32                                  got 0.08712 want 0.08712 -> PASS
reproduction Gridbook FP8-CB K40                                  got 0.04602 want 0.04602 -> PASS
reproduction Gridbook FP8-CB K48                                  got 0.02397 want 0.02397 -> PASS
reproduction Gridbook FP4-CB K24 (v2 two-tier)                    got 0.14246 want 0.14246 -> PASS
reproduction Gridbook FP4-CB K20 (v2 two-tier)                    got 0.19744 want 0.19744 -> PASS
reproduction Gridbook FP4-CB K16 (v2 two-tier)                    got 0.27833 want 0.27833 -> PASS
reproduction Tessera-4 q256=896 (span2 LUT refit4 scale-wt)       got 0.07983 want 0.07983 -> PASS
reproduction Tessera-8 R=4 per-channel (s=64)                     got 0.07801 want 0.07800 -> FAIL
reproduction Tessera-8 R=5 per-channel (s=64)                     got 0.04101 want 0.04101 -> PASS

CB LDLQ gate verdicts (research arm; production sets PRISMAQUANT_CB_LDLQ=0):
  Gridbook FP8-CB K32: L5.gate_proj=False/raw_kept; L5.up_proj=False/raw_kept; L20.gate_proj=True/ldlq_kept; L20.up_proj=True/ldlq_kept; L42.gate_proj=True/ldlq_kept; L42.up_proj=True/ldlq_kept
  Gridbook FP8-CB K40: L5.gate_proj=False/raw_kept; L5.up_proj=False/raw_kept; L20.gate_proj=True/ldlq_kept; L20.up_proj=True/ldlq_kept; L42.gate_proj=True/ldlq_kept; L42.up_proj=True/ldlq_kept
  Gridbook FP8-CB K48: L5.gate_proj=False/raw_kept; L5.up_proj=False/raw_kept; L20.gate_proj=False/raw_kept; L20.up_proj=False/raw_kept; L42.gate_proj=True/ldlq_kept; L42.up_proj=True/ldlq_kept
  Gridbook FP4-CB K24 (v2 two-tier): L5.gate_proj=False/raw_kept; L5.up_proj=False/raw_kept; L20.gate_proj=False/raw_kept; L20.up_proj=False/raw_kept; L42.gate_proj=True/ldlq_kept; L42.up_proj=True/ldlq_kept
  Gridbook FP4-CB K20 (v2 two-tier): L5.gate_proj=False/raw_kept; L5.up_proj=False/raw_kept; L20.gate_proj=False/raw_kept; L20.up_proj=False/raw_kept; L42.gate_proj=True/ldlq_kept; L42.up_proj=True/ldlq_kept
  Gridbook FP4-CB K16 (v2 two-tier): L5.gate_proj=False/raw_kept; L5.up_proj=False/raw_kept; L20.gate_proj=True/ldlq_kept; L20.up_proj=True/ldlq_kept; L42.gate_proj=True/ldlq_kept; L42.up_proj=True/ldlq_kept

wrote experiments/results/tessera_vs_exl3_followups.json

##### tessera_vs_exl3_followups 2026-09-01 23:57:51 args={'layers': [5, 20, 42], 'projs': ['gate_proj', 'up_proj'], 'eval_rows': 1024, 'exl3': [2, 3, 4, 5, 6, 8], 'sigmas': [1.0, 3.0], 'ldlq_block': 32, 'q256': 896, 'rates': [4, 5], 'sigma_units': 64.0, 'refits': 2, 'fp4cb': [24, 20, 16], 'fp8cb': [32, 40, 48], 'cb_ldlq': 1, 's6b_inner': 1, 'out': 'experiments/results/tessera_vs_exl3_followups.json', 'summarize_only': True}

imported 2 arms from experiments/results/tessera8_targets.json (witness arm identical to 0)

== mean over 6 tensors   act legs: A4 0.08657  A8 0.02409
    arm                                                                       bpp       wt      out     W?A4     W?A8
    EXL3 K=2                                                                2.012  0.33452  0.26432  0.27740  0.26529
    EXL3 K=3                                                                3.012  0.17027  0.13391  0.15917  0.13600
    EXL3 K=4                                                                4.012  0.08630  0.06787  0.10989  0.07200
    EXL3 K=5                                                                5.012  0.04387  0.03455  0.09319  0.04210
    EXL3 K=6                                                                6.012  0.02246  0.01766  0.08835  0.02987
    EXL3 K=8                                                                8.012  0.00608  0.00478  0.08670  0.02456
    Gridbook FP8-CB K32                                                     4.008  0.09558  0.08712  0.12261  0.09038
    Gridbook FP8-CB K32 +imatrix                                            4.008  0.09581  0.08694  0.12247  0.09021
    Gridbook FP8-CB K40                                                     5.008  0.05046  0.04602  0.09795  0.05192
    Gridbook FP8-CB K40 +imatrix                                            5.008  0.05058  0.04597  0.09792  0.05188
    Gridbook FP8-CB K48                                                     6.008  0.02625  0.02397  0.08981  0.03398
    Gridbook FP8-CB K48 +imatrix                                            6.008  0.02629  0.02397  0.08981  0.03398
    Gridbook FP4-CB K24 (v2 two-tier)                                       3.281  0.15604  0.14246  0.16640  0.14444
    Gridbook FP4-CB K24 (v2 two-tier) +imatrix                              3.281  0.15669  0.14194  0.16595  0.14393
    Gridbook FP4-CB K20 (v2 two-tier)                                       2.781  0.21590  0.19744  0.21500  0.19886
    Gridbook FP4-CB K20 (v2 two-tier) +imatrix                              2.781  0.21683  0.19677  0.21434  0.19819
    Gridbook FP4-CB K16 (v2 two-tier)                                       2.281  0.30282  0.27833  0.29059  0.27930
    Gridbook FP4-CB K16 (v2 two-tier) +imatrix                              2.281  0.30419  0.27705  0.28933  0.27802
    Gridbook FP8-CB K32 +imatrix +LDLQ(gated)                               4.008  0.13069  0.10685  0.13768  0.10955
    Gridbook FP8-CB K40 +imatrix +LDLQ(gated)                               5.008  0.06919  0.05659  0.10357  0.06157
    Gridbook FP8-CB K48 +imatrix +LDLQ(gated)                               6.008  0.03126  0.02641  0.09055  0.03582
    Gridbook FP4-CB K24 (v2 two-tier) +imatrix +LDLQ(gated)                 3.281  0.18544  0.15631  0.17862  0.15812
    Gridbook FP4-CB K20 (v2 two-tier) +imatrix +LDLQ(gated)                 2.781  0.25568  0.21577  0.23206  0.21706
    Gridbook FP4-CB K16 (v2 two-tier) +imatrix +LDLQ(gated)                 2.281  0.40786  0.33530  0.34553  0.33604
    Tessera-4 q256=896 (span2 LUT refit4 scale-wt)                          4.000  0.08774  0.07983  0.11761  0.08335
    Tessera-4 + LDLQ s=1.0 (whole re-encode)                                4.000  0.09192  0.07648  0.11533  0.08015
    Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic)                           4.000  0.09190  0.07486  0.11428  0.07860
    Tessera-4 + LDLQ s=1.0 (whole re-encode, S6b inner)                     4.000  0.09308  0.08609  0.12182  0.08933
    Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic, S6b inner)                4.000  0.10393  0.08462  0.12078  0.08795
    Tessera-4 + LDLQ s=3.0 (whole re-encode)                                4.000  0.08917  0.07539  0.11462  0.07910
    Tessera-4 + LDLQ s=3.0 (STITCHED, diagnostic)                           4.000  0.08914  0.07401  0.11372  0.07779
    Tessera-8 R=4 per-channel (s=64)                                        4.008  0.08556  0.07801  0.11639  0.08163
    Tessera-8 R=4 per-channel + LDLQ s=1.0 (frozen row scale)               4.008  0.08934  0.07275  0.11285  0.07660
    Tessera-8 R=4 per-channel + LDLQ s=3.0 (frozen row scale)               4.008  0.08689  0.07212  0.11243  0.07600
    Tessera-8 R=5 per-channel (s=64)                                        5.008  0.04504  0.04101  0.09573  0.04755
    Tessera-8 R=5 per-channel + LDLQ s=1.0 (frozen row scale)               5.008  0.04704  0.03829  0.09458  0.04523
    Tessera-8 R=5 per-channel + LDLQ s=3.0 (frozen row scale)               5.008  0.04574  0.03794  0.09444  0.04494
    Tessera-4 q256=768 (span2 LUT refit4 scale-wt) [imported from tessera8_targets.json]  3.500  0.15069  0.13730  0.16183  0.13937
    Tessera-4 q256=640 (span2 LUT refit4 scale-wt) [imported from tessera8_targets.json]  3.000  0.19962  0.18282  0.20164  0.18437

| arm | bpp | out | vs EXL3 out | W?A4 | vs EXL3 A4 | W?A8 | vs EXL3 A8 |
|---|---:|---:|---:|---:|---:|---:|---:|
| EXL3 K=2 | 2.012 | 0.26432 | - | 0.27740 | - | 0.26529 | - |
| EXL3 K=3 | 3.012 | 0.13391 | - | 0.15917 | - | 0.13600 | - |
| EXL3 K=4 | 4.012 | 0.06787 | - | 0.10989 | - | 0.07200 | - |
| EXL3 K=5 | 5.012 | 0.03455 | - | 0.09319 | - | 0.04210 | - |
| EXL3 K=6 | 6.012 | 0.01766 | - | 0.08835 | - | 0.02987 | - |
| EXL3 K=8 | 8.012 | 0.00478 | - | 0.08670 | - | 0.02456 | - |
| Gridbook FP8-CB K32 | 4.008 | 0.08712 | 1.281x (1.269-1.305) | 0.12261 | 1.115x (1.109-1.124) | 0.09038 | 1.253x (1.242-1.274) |
| Gridbook FP8-CB K32 +imatrix | 4.008 | 0.08694 | 1.279x (1.267-1.300) | 0.12247 | 1.113x (1.109-1.122) | 0.09021 | 1.251x (1.240-1.270) |
| Gridbook FP8-CB K40 | 5.008 | 0.04602 | 1.330x (1.313-1.362) | 0.09795 | 1.051x (1.048-1.056) | 0.05192 | 1.232x (1.222-1.253) |
| Gridbook FP8-CB K40 +imatrix | 5.008 | 0.04597 | 1.329x (1.310-1.354) | 0.09792 | 1.050x (1.047-1.054) | 0.05188 | 1.231x (1.219-1.246) |
| Gridbook FP8-CB K48 | 6.008 | 0.02397 | 1.353x (1.302-1.403) | 0.08981 | 1.016x (1.013-1.019) | 0.03398 | 1.136x (1.115-1.158) |
| Gridbook FP8-CB K48 +imatrix | 6.008 | 0.02397 | 1.353x (1.304-1.401) | 0.08981 | 1.016x (1.013-1.019) | 0.03398 | 1.136x (1.115-1.157) |
| Gridbook FP4-CB K24 (v2 two-tier) | 3.281 | 0.14246 | 1.280x (1.257-1.312) | 0.16640 | 1.157x (1.141-1.179) | 0.14444 | 1.263x (1.241-1.294) |
| Gridbook FP4-CB K24 (v2 two-tier) +imatrix | 3.281 | 0.14194 | 1.274x (1.256-1.295) | 0.16595 | 1.153x (1.140-1.167) | 0.14393 | 1.258x (1.240-1.278) |
| Gridbook FP4-CB K20 (v2 two-tier) | 2.781 | 0.19744 | 1.263x (1.245-1.300) | 0.21500 | 1.190x (1.176-1.221) | 0.19886 | 1.256x (1.238-1.293) |
| Gridbook FP4-CB K20 (v2 two-tier) +imatrix | 2.781 | 0.19677 | 1.258x (1.246-1.285) | 0.21434 | 1.186x (1.177-1.208) | 0.19819 | 1.251x (1.239-1.277) |
| Gridbook FP4-CB K16 (v2 two-tier) | 2.281 | 0.27833 | 1.268x (1.242-1.330) | 0.29059 | 1.220x (1.196-1.276) | 0.27930 | 1.264x (1.238-1.326) |
| Gridbook FP4-CB K16 (v2 two-tier) +imatrix | 2.281 | 0.27705 | 1.262x (1.240-1.308) | 0.28933 | 1.214x (1.195-1.256) | 0.27802 | 1.257x (1.236-1.304) |
| Gridbook FP8-CB K32 +imatrix +LDLQ(gated) | 4.008 | 0.10685 | 1.582x (1.267-1.767) | 0.13768 | 1.256x (1.109-1.349) | 0.10955 | 1.528x (1.240-1.699) |
| Gridbook FP8-CB K40 +imatrix +LDLQ(gated) | 5.008 | 0.05659 | 1.646x (1.318-1.834) | 0.10357 | 1.113x (1.049-1.153) | 0.06157 | 1.468x (1.224-1.613) |
| Gridbook FP8-CB K48 +imatrix +LDLQ(gated) | 6.008 | 0.02641 | 1.511x (1.304-1.840) | 0.09055 | 1.026x (1.013-1.045) | 0.03582 | 1.206x (1.115-1.349) |
| Gridbook FP4-CB K24 (v2 two-tier) +imatrix +LDLQ(gated) | 3.281 | 0.15631 | 1.423x (1.256-1.741) | 0.17862 | 1.253x (1.140-1.469) | 0.15812 | 1.400x (1.240-1.705) |
| Gridbook FP4-CB K20 (v2 two-tier) +imatrix +LDLQ(gated) | 2.781 | 0.21577 | 1.397x (1.246-1.699) | 0.23206 | 1.298x (1.177-1.540) | 0.21706 | 1.388x (1.239-1.683) |
| Gridbook FP4-CB K16 (v2 two-tier) +imatrix +LDLQ(gated) | 2.281 | 0.33530 | 1.535x (1.240-1.704) | 0.34553 | 1.456x (1.195-1.609) | 0.33604 | 1.527x (1.236-1.695) |
| Tessera-4 q256=896 (span2 LUT refit4 scale-wt) | 4.000 | 0.07983 | 1.169x (1.153-1.202) | 0.11761 | 1.066x (1.060-1.080) | 0.08335 | 1.151x (1.137-1.181) |
| Tessera-4 + LDLQ s=1.0 (whole re-encode) | 4.000 | 0.07648 | 1.118x (1.110-1.123) | 0.11533 | 1.045x (1.042-1.047) | 0.08015 | 1.105x (1.098-1.110) |
| Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic) | 4.000 | 0.07486 | 1.094x (1.087-1.102) | 0.11428 | 1.035x (1.033-1.039) | 0.07860 | 1.084x (1.077-1.091) |
| Tessera-4 + LDLQ s=1.0 (whole re-encode, S6b inner) | 4.000 | 0.08609 | 1.261x (1.234-1.303) | 0.12182 | 1.105x (1.094-1.121) | 0.08933 | 1.234x (1.210-1.271) |
| Tessera-4 + LDLQ s=1.0 (STITCHED, diagnostic, S6b inner) | 4.000 | 0.08462 | 1.236x (1.226-1.248) | 0.12078 | 1.094x (1.088-1.100) | 0.08795 | 1.212x (1.202-1.223) |
| Tessera-4 + LDLQ s=3.0 (whole re-encode) | 4.000 | 0.07539 | 1.102x (1.096-1.110) | 0.11462 | 1.039x (1.037-1.040) | 0.07910 | 1.091x (1.085-1.097) |
| Tessera-4 + LDLQ s=3.0 (STITCHED, diagnostic) | 4.000 | 0.07401 | 1.082x (1.076-1.088) | 0.11372 | 1.030x (1.028-1.034) | 0.07779 | 1.072x (1.067-1.078) |
| Tessera-8 R=4 per-channel (s=64) | 4.008 | 0.07801 | 1.147x (1.136-1.165) | 0.11639 | 1.058x (1.053-1.067) | 0.08163 | 1.132x (1.122-1.148) |
| Tessera-8 R=4 per-channel + LDLQ s=1.0 (frozen row scale) | 4.008 | 0.07275 | 1.068x (1.058-1.083) | 0.11285 | 1.025x (1.021-1.032) | 0.07660 | 1.061x (1.051-1.075) |
