timestamp, power.draw [W]
2026/09/01 22:48:54.817, 48.90 W
2026/09/01 22:48:55.818, 50.97 W
2026/09/01 22:48:56.818, 48.54 W
2026/09/01 22:48:57.818, 51.00 W
2026/09/01 22:48:58.819, 48.63 W
2026/09/01 22:48:59.819, 50.38 W
2026/09/01 22:49:00.819, 48.83 W
2026/09/01 22:49:01.820, 49.49 W
2026/09/01 22:49:02.820, 49.60 W
2026/09/01 22:49:03.820, 48.13 W
2026/09/01 22:49:04.820, 50.30 W
2026/09/01 22:49:05.821, 47.97 W
2026/09/01 22:49:06.821, 50.29 W
2026/09/01 22:49:07.822, 47.98 W
2026/09/01 22:49:08.822, 50.05 W
2026/09/01 22:49:09.822, 49.08 W
2026/09/01 22:49:10.823, 49.23 W
2026/09/01 22:49:11.823, 50.21 W
2026/09/01 22:49:12.823, 47.56 W
2026/09/01 22:49:13.823, 49.92 W
2026/09/01 22:49:14.824, 47.72 W
2026/09/01 22:49:15.824, 50.09 W
2026/09/01 22:49:16.824, 47.31 W
2026/09/01 22:49:17.825, 49.82 W
2026/09/01 22:49:18.825, 49.24 W
2026/09/01 22:49:19.825, 48.98 W
2026/09/01 22:49:20.826, 50.31 W
2026/09/01 22:49:21.826, 48.05 W
2026/09/01 22:49:22.827, 49.93 W
2026/09/01 22:49:23.827, 48.15 W
2026/09/01 22:49:24.828, 50.32 W
2026/09/01 22:49:25.828, 48.19 W
2026/09/01 22:49:26.829, 49.51 W
2026/09/01 22:49:27.829, 49.67 W
2026/09/01 22:49:28.830, 48.58 W
2026/09/01 22:49:29.830, 50.08 W
2026/09/01 22:49:30.830, 48.08 W
2026/09/01 22:49:31.831, 50.15 W
2026/09/01 22:49:32.832, 47.52 W
2026/09/01 22:49:33.832, 50.20 W
2026/09/01 22:49:34.833, 48.70 W
2026/09/01 22:49:35.833, 49.58 W
2026/09/01 22:49:36.834, 49.90 W
2026/09/01 22:49:37.834, 48.21 W
2026/09/01 22:49:38.835, 50.21 W
2026/09/01 22:49:39.835, 48.01 W
2026/09/01 22:49:40.836, 50.19 W
2026/09/01 22:49:41.836, 48.04 W
2026/09/01 22:49:42.836, 49.85 W
2026/09/01 22:49:43.836, 48.90 W
2026/09/01 22:49:44.837, 48.96 W
2026/09/01 22:49:45.837, 49.93 W
2026/09/01 22:49:46.837, 47.98 W
2026/09/01 22:49:47.837, 50.29 W
2026/09/01 22:49:48.838, 47.84 W
2026/09/01 22:49:49.838, 50.18 W
2026/09/01 22:49:50.839, 48.19 W
2026/09/01 22:49:51.839, 50.12 W
2026/09/01 22:49:52.840, 48.69 W
2026/09/01 22:49:53.840, 48.40 W
2026/09/01 22:49:54.840, 50.17 W
2026/09/01 22:49:55.840, 47.81 W
2026/09/01 22:49:56.841, 50.24 W
2026/09/01 22:49:57.841, 47.99 W
2026/09/01 22:49:58.841, 50.15 W
2026/09/01 22:49:59.841, 48.41 W
2026/09/01 22:50:00.841, 49.58 W
2026/09/01 22:50:01.842, 49.59 W
2026/09/01 22:50:02.842, 48.19 W
2026/09/01 22:50:03.843, 58.40 W
2026/09/01 22:50:04.843, 56.52 W
2026/09/01 22:50:05.844, 59.69 W
2026/09/01 22:50:06.844, 56.30 W
2026/09/01 22:50:07.845, 59.63 W
2026/09/01 22:50:08.845, 56.24 W
2026/09/01 22:50:09.846, 59.67 W
2026/09/01 22:50:10.846, 56.16 W
2026/09/01 22:50:11.847, 59.14 W
2026/09/01 22:50:12.847, 56.84 W
2026/09/01 22:50:13.847, 57.75 W
2026/09/01 22:50:14.848, 58.05 W
